GPU Name,VRAM,Cost/hr,Minimum Cost/hr
H200 SXM,141 GB,$3.99,$2.49
B200,180 GB,$7.99,$6.99
H100 SXM,80 GB,$2.99,$2.49
A100 SXM,80 GB,$1.89,$1.51
H100 NVL,94 GB,$2.79,$2.49
A40,48 GB,$0.44,$0.35
RTX 4090,24 GB,$0.69,$0.59
RTX 6000 Ada,48 GB,$0.77,$0.65
RTX A6000,48 GB,$0.59,$0.55
H100 PCle,80 GB,$2.39,$1.99
L40S,48 GB,$0.86,$0.73
RTX A5000,24 GB,$0.29,$0.20
RTX 4000 Ada,20 GB,$0.38,$0.29
RTX A4500,20 GB,$0.34,$0.26
RTX 2000 Ada,16 GB,$0.28,$0.21
L40,48 GB,$0.99,$0.84
L4,24 GB,$0.43,$0.37
RTX 3090,24 GB,$0.43,$0.37
RTX A4000,16 GB,$0.32,$0.24
